conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/2198d7a0-6eca-4795-b877-98a19064e61a,operating machinery for the extraction and processing of raw materials,extraction and processing of raw materials,,released,,"Excludes:
- Operating centralized process control equipment","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the extraction or processing of raw materials.,S8.4
SkillGroup,http://data.europa.eu/esco/skill/dcb9c446-bb08-44de-89b6-851ac2903eaf,operating print and photographic production equipment,,,released,,"Examples:
- Operate flexographic printing machine
- Adjust rotogravure press
- Operate collating machine","http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",Operating and tending machinery for printing and photographic reproduction.,S8.5.6
SkillGroup,http://data.europa.eu/esco/skill/3374fb57-056f-49e0-9fc5-000465e13794,teaching safety procedures,,,released,,"Examples:
- educate employees on occupational hazards
- provide on-board safety training
- train staff in safety procedures
- educate public on fire safety","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",Teaching safety procedures or standards to other people.,S1.3.2
SkillGroup,http://data.europa.eu/esco/skill/424cce4d-71c9-47d9-93d6-4068403139f0,shaping materials to create products,,,released,2022-06-19T15:45:14.266Z,"Examples:
- Shape clay
- Shape sheet metal objects
- Use wood chisel","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",Altering the shape of various types of materials by hand or using hand tools.,S6.7.2
SkillGroup,http://data.europa.eu/esco/isced-f/0421,law,,,released,2024-05-02T16:17:27.976Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f","Law is the study of the principles and procedures for formally maintaining social order, including training for legal professions such as advocate or training for the judicial bench.
Programmes and qualifications with the following main content are classified here:
Commercial law
Criminal justice studies
History of law
Indigenous law
Jurisprudence
Labour law
Legal practice
Notary/Notary's practise
Paralegal studies

=== Exclusions
Court reporting programmes and legal secretary programmes are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.
Police studies are excluded from this detailed field and included in detailed field 1032 'Protection of persons and property'.",0421
SkillGroup,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,working efficiently,"responding to the requirements of tasks and responsibilities
time-efficient work
efficiency
efficient working style",good time management,released,2021-08-30T16:07:41.362Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skills","Achieve objectives independently using optimal amount of time, effort, or cost. ",T3.1
SkillGroup,http://data.europa.eu/esco/isced-f/0719,engineering and engineering trades not elsewhere classified,,,released,2024-05-02T16:07:35.562Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f","Engineering studies not covered by other detailed fields are classified here:
Nanotechnology",0719
SkillGroup,http://data.europa.eu/esco/isced-f/104,transport services,,,released,2024-05-02T16:00:09.865Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,104
SkillGroup,http://data.europa.eu/esco/skill/9d0d6866-cd91-490b-9e3a-d0914ad95a2e,handling animals,,,released,2021-09-15T09:05:01.998Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy","Handling, moving, feeding and caring for live animals.",S6.9.0
SkillGroup,http://data.europa.eu/esco/isced-f/028,inter-disciplinary programmes and qualifications involving arts and humanities,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,028
